Parameter Name;Value
General Information;
Sample name:;Soil_Samples_JKI
Additional Soil Paramters;
Density [g/cm3]:;1.62
Porosity [-]:;0.39
Wiederholungen;
Sample name 0:;
Sample name 1:;269.br
Sample name 2:;300.br
Sample name 3:;455.br
Sample name 4:;
Sample name 5:;
Sample name 6:;
Sample name 7:;
Fitting Parameters;
wtheta;1
wk;0.001
Fitting;
Model Description;traditional unconstrained van Genuchten-Mualem model
Notes;
General data;
- Site coordinates;
- Sampling date;
- Site description;
- Soil type;
- Land use;
Soil physical data;
- Texture (%clay, %silt, %sand);
- Soil texture class;
- Sampling depth;
- Organic carbon content;
Sample preparation and handling;
- Initial saturation procedure;
- Swelling handling (suppressed, not suppressed, under load);
pF [-];Water Content [Vol%];Weight [-]
2.037;-0.54;
2.052;-0.57;
2.068;-0.63;
2.087;-0.71;
2.105;-0.75;
2.123;-0.77;
2.142;-0.81;
2.162;-0.85;
2.182;-0.91;
2.203;-0.96;
2.225;-1.03;
2.247;-1.09;
2.271;-1.16;
2.296;-1.24;
2.323;-1.34;
2.351;-1.39;
2.378;-1.42;
2.406;-1.51;
2.436;-1.6;
2.467;-1.67;
2.499;-1.76;
2.534;-1.87;
2.572;-1.99;
2.611;-2.09;
2.648;-2.17;
2.685;-2.25;
2.721;-2.33;
2.758;-2.42;
2.796;-2.51;
2.833;-2.61;
2.871;-2.7;
2.91;-2.79;
2.948;-2.89;
Water Content [Vol%];log 10 K [cm/d]
23.68;-0.4
23.43;-0.5
23.17;-0.57
22.91;-0.66
22.64;-0.76
22.36;-0.85
22.08;-0.93
21.8;-1
21.51;-1.08
21.22;-1.16
20.92;-1.24
20.62;-1.32
20.32;-1.4
20.01;-1.48
19.7;-1.57
19.38;-1.66
19.06;-1.76
18.74;-1.85
18.41;-1.92
18.09;-1.99
17.76;-2.07
17.42;-2.16
17.09;-2.23
16.75;-2.32
16.42;-2.42
16.08;-2.53
15.74;-2.62
15.41;-2.72
15.07;-2.81
14.74;-2.89
14.4;-2.98
14.07;-3.05
24.84;-0.32
24.46;-0.38
24.08;-0.46
23.68;-0.59
23.28;-0.69
22.87;-0.77
22.46;-0.87
22.04;-0.97
21.62;-1.07
21.2;-1.17
20.79;-1.27
20.37;-1.37
19.95;-1.46
19.52;-1.55
19.09;-1.65
18.65;-1.77
18.2;-1.88
17.76;-1.98
17.32;-2.1
16.88;-2.21
16.44;-2.32
16.02;-2.44
15.61;-2.56
15.21;-2.68
14.83;-2.81
14.48;-2.92
26.67;-0.3
26.27;-0.38
25.87;-0.44
25.47;-0.53
25.08;-0.66
24.68;-0.74
24.28;-0.8
23.87;-0.88
23.46;-0.96
23.05;-1.08
22.64;-1.16
22.22;-1.23
21.8;-1.31
21.38;-1.4
20.96;-1.49
20.54;-1.59
20.12;-1.69
19.71;-1.79
19.29;-1.9
18.88;-2.01
24.29;-0.3
23.89;-0.38
23.49;-0.43
23.08;-0.45
22.66;-0.52
22.24;-0.64
21.82;-0.73
21.39;-0.82
20.96;-0.91
20.52;-0.97
20.09;-1.03
19.65;-1.08
19.2;-1.15
18.76;-1.23
18.32;-1.32
17.87;-1.41
17.43;-1.5
16.99;-1.61
16.55;-1.72
16.12;-1.81
15.68;-1.91
15.26;-2.04
14.83;-2.19
14.42;-2.32
14.01;-2.42
13.62;-2.53
13.23;-2.63
22.15;-0.31
21.79;-0.41
21.43;-0.53
21.06;-0.66
20.69;-0.72
20.31;-0.78
19.93;-0.89
19.54;-1.03
19.15;-1.15
18.75;-1.26
18.35;-1.38
17.95;-1.47
17.55;-1.53
17.14;-1.6
16.73;-1.67
16.32;-1.75
15.91;-1.84
15.51;-1.92
15.1;-2.01
14.69;-2.1
14.29;-2.2
13.89;-2.29
13.49;-2.38
13.1;-2.47
12.71;-2.57
12.33;-2.68
25.27;-0.39
25.02;-0.43
24.77;-0.48
24.51;-0.54
24.25;-0.57
23.98;-0.63
23.71;-0.71
23.43;-0.75
23.14;-0.77
22.85;-0.81
22.55;-0.85
22.25;-0.91
21.95;-0.96
21.63;-1.03
21.32;-1.09
21;-1.16
20.67;-1.24
20.34;-1.34
20.01;-1.39
19.67;-1.42
19.33;-1.51
18.98;-1.6
18.64;-1.67
18.29;-1.76
17.93;-1.87
17.58;-1.99
17.22;-2.09
16.87;-2.17
16.51;-2.25
16.16;-2.33
15.8;-2.42
15.44;-2.51
15.09;-2.61
14.74;-2.7
14.39;-2.79
14.04;-2.89
pF [-];Water Content [Vol%]
-3;36.08
-2.98;36.08
-2.96;36.08
-2.94;36.08
-2.92;36.08
-2.9;36.08
-2.88;36.08
-2.86;36.08
-2.84;36.08
-2.82;36.08
-2.8;36.08
-2.78;36.08
-2.76;36.08
-2.739;36.08
-2.719;36.08
-2.699;36.08
-2.679;36.08
-2.659;36.08
-2.639;36.08
-2.619;36.08
-2.599;36.08
-2.579;36.08
-2.559;36.08
-2.539;36.08
-2.519;36.08
-2.499;36.08
-2.479;36.08
-2.459;36.08
-2.439;36.08
-2.419;36.08
-2.399;36.08
-2.379;36.08
-2.359;36.08
-2.339;36.08
-2.319;36.08
-2.299;36.08
-2.279;36.08
-2.259;36.08
-2.238;36.08
-2.218;36.08
-2.198;36.08
-2.178;36.08
-2.158;36.08
-2.138;36.08
-2.118;36.08
-2.098;36.08
-2.078;36.08
-2.058;36.08
-2.038;36.08
-2.018;36.08
-1.998;36.08
-1.978;36.08
-1.958;36.08
-1.938;36.08
-1.918;36.08
-1.898;36.08
-1.878;36.08
-1.858;36.08
-1.838;36.08
-1.818;36.08
-1.798;36.08
-1.778;36.08
-1.758;36.08
-1.737;36.08
-1.717;36.08
-1.697;36.08
-1.677;36.08
-1.657;36.08
-1.637;36.08
-1.617;36.08
-1.597;36.08
-1.577;36.08
-1.557;36.08
-1.537;36.08
-1.517;36.08
-1.497;36.08
-1.477;36.08
-1.457;36.08
-1.437;36.08
-1.417;36.08
-1.397;36.08
-1.377;36.08
-1.357;36.08
-1.337;36.08
-1.317;36.08
-1.297;36.08
-1.277;36.08
-1.257;36.08
-1.236;36.08
-1.216;36.08
-1.196;36.08
-1.176;36.08
-1.156;36.08
-1.136;36.08
-1.116;36.08
-1.096;36.08
-1.076;36.08
-1.056;36.08
-1.036;36.08
-1.016;36.08
-0.996;36.08
-0.976;36.08
-0.956;36.08
-0.936;36.08
-0.916;36.08
-0.896;36.08
-0.876;36.08
-0.856;36.08
-0.836;36.08
-0.816;36.08
-0.796;36.08
-0.776;36.08
-0.756;36.08
-0.735;36.08
-0.715;36.08
-0.695;36.08
-0.675;36.08
-0.655;36.08
-0.635;36.08
-0.615;36.08
-0.595;36.08
-0.575;36.08
-0.555;36.08
-0.535;36.08
-0.515;36.08
-0.495;36.08
-0.475;36.08
-0.455;36.08
-0.435;36.08
-0.415;36.08
-0.395;36.08
-0.375;36.08
-0.355;36.08
-0.335;36.08
-0.315;36.08
-0.295;36.08
-0.275;36.08
-0.255;36.08
-0.234;36.08
-0.214;36.08
-0.194;36.08
-0.174;36.08
-0.154;36.08
-0.134;36.08
-0.114;36.08
-0.094;36.08
-0.074;36.08
-0.054;36.08
-0.034;36.08
-0.014;36.08
0.006;36.08
0.026;36.08
0.046;36.08
0.066;36.08
0.086;36.08
0.106;36.08
0.126;36.08
0.146;36.08
0.166;36.08
0.186;36.08
0.206;36.08
0.226;36.08
0.246;36.08
0.267;36.08
0.287;36.08
0.307;36.08
0.327;36.08
0.347;36.08
0.367;36.08
0.387;36.08
0.407;36.08
0.427;36.08
0.447;36.08
0.467;36.08
0.487;36.08
0.507;36.08
0.527;36.08
0.547;36.08
0.567;36.08
0.587;36.08
0.607;36.08
0.627;36.08
0.647;36.08
0.667;36.08
0.687;36.08
0.707;36.07
0.727;36.07
0.747;36.07
0.768;36.07
0.788;36.07
0.808;36.07
0.828;36.06
0.848;36.06
0.868;36.06
0.888;36.05
0.908;36.05
0.928;36.04
0.948;36.03
0.968;36.03
0.988;36.02
1.008;36.01
1.028;36
1.048;35.98
1.068;35.97
1.088;35.95
1.108;35.93
1.128;35.91
1.148;35.89
1.168;35.86
1.188;35.82
1.208;35.79
1.228;35.74
1.248;35.7
1.269;35.64
1.289;35.58
1.309;35.51
1.329;35.43
1.349;35.34
1.369;35.24
1.389;35.13
1.409;35
1.429;34.87
1.449;34.71
1.469;34.54
