Time,Pico32_1,Pico32_2,5TM_1,5TM_2,10HS_3,10HS_4,theta_grav
2017-03-18 09:40:00,0.18760000000000002,0.1516,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.17383692386045524
2017-03-18 09:50:00,0.1875,0.1516,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.17382419149478165
2017-03-18 10:00:00,0.1875,0.15130000000000002,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.17381145912910806
2017-03-18 10:10:00,0.18760000000000002,0.15130000000000002,0.0954321026802063,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.17382419149478165
2017-03-18 10:20:00,0.18739999999999998,0.1515,0.09636683017015457,0.11111623048782349,0.24548213183879852,0.22832812368869781,0.17383692386045524
2017-03-18 10:30:00,0.18760000000000002,0.1514,0.0954321026802063,0.11247921735048294,0.24456553161144257,0.22785711288452148,0.17381145912910806
2017-03-18 10:40:00,0.18739999999999998,0.1515,0.0949641689658165,0.11338600516319275,0.24364803731441498,0.22738562524318695,0.17382419149478165
2017-03-18 10:50:00,0.18739999999999998,0.1514,0.0949641689658165,0.11293280124664307,0.24410690367221832,0.22738562524318695,0.17382419149478165
2017-03-18 11:00:00,0.18730000000000002,0.1514,0.09355806559324265,0.11338600516319275,0.24181008338928223,0.22738562524318695,0.17381145912910806
2017-03-18 11:10:00,0.18739999999999998,0.15130000000000002,0.0949641689658165,0.11247921735048294,0.24364803731441498,0.22738562524318695,0.17383692386045524
2017-03-18 11:20:00,0.1875,0.1515,0.09589965641498566,0.11202526092529297,0.2450239360332489,0.22738562524318695,0.1738623885918022
2017-03-18 11:30:00,0.1875,0.1515,0.09589965641498566,0.11202526092529297,0.2450239360332489,0.22738562524318695,0.17388785332314938
2017-03-18 11:40:00,0.18739999999999998,0.1515,0.09589965641498566,0.11247921735048294,0.24456553161144257,0.22738562524318695,0.1738751209574758
2017-03-18 11:50:00,0.18730000000000002,0.1514,0.09402714669704437,0.11338600516319275,0.24226996302604675,0.22738562524318695,0.1738623885918022
2017-03-18 12:00:00,0.18739999999999998,0.1514,0.09402714669704437,0.11383884400129318,0.24226996302604675,0.22738562524318695,0.1738496562261286
2017-03-18 12:10:00,0.18739999999999998,0.1515,0.09355806559324265,0.11293280124664307,0.2413499504327774,0.22738562524318695,0.1738751209574758
2017-03-18 12:20:00,0.1875,0.1514,0.09355806559324265,0.11247921735048294,0.24181008338928223,0.22738562524318695,0.17388785332314938
2017-03-18 12:30:00,0.1872,0.1512,0.0949641689658165,0.11338600516319275,0.24364803731441498,0.22738562524318695,0.17388785332314938
2017-03-18 12:40:00,0.1872,0.1514,0.09355806559324265,0.11293280124664307,0.2413499504327774,0.22738562524318695,0.17388785332314938
2017-03-18 12:50:00,0.18730000000000002,0.1512,0.09402714669704437,0.11293280124664307,0.24226996302604675,0.22738562524318695,0.17390058568882294
2017-03-18 13:00:00,0.1875,0.15130000000000002,0.0949641689658165,0.11383884400129318,0.24318893253803253,0.22738562524318695,0.17390058568882294
2017-03-18 13:10:00,0.18739999999999998,0.1512,0.09402714669704437,0.11338600516319275,0.24181008338928223,0.2269136607646942,0.1738623885918022
2017-03-18 13:20:00,0.18739999999999998,0.1514,0.09449584782123566,0.11247921735048294,0.24226996302604675,0.2269136607646942,0.17381145912910806
2017-03-18 13:30:00,0.1875,0.1512,0.09402714669704437,0.11338600516319275,0.2413499504327774,0.2269136607646942,0.17378599439776088
2017-03-18 13:40:00,0.18710000000000002,0.1515,0.09402714669704437,0.11338600516319275,0.24181008338928223,0.2269136607646942,0.17377326203208754
2017-03-18 13:50:00,0.1875,0.1516,0.09355806559324265,0.11293280124664307,0.2413499504327774,0.2269136607646942,0.17381145912910806
2017-03-18 14:00:00,0.1872,0.1512,0.09402714669704437,0.11338600516319275,0.24181008338928223,0.2269136607646942,0.17382419149478165
2017-03-18 14:10:00,0.18739999999999998,0.1512,0.09402714669704437,0.11338600516319275,0.2413499504327774,0.2269136607646942,0.17382419149478165
2017-03-18 14:20:00,0.18730000000000002,0.15130000000000002,0.09402714669704437,0.11383884400129318,0.24181008338928223,0.2264411896467209,0.17379872676343447
2017-03-18 14:30:00,0.1872,0.15130000000000002,0.09355806559324265,0.11338600516319275,0.2408895194530487,0.2264411896467209,0.17378599439776088
2017-03-18 14:40:00,0.1872,0.1514,0.09355806559324265,0.11293280124664307,0.2408895194530487,0.2264411896467209,0.17378599439776088
2017-03-18 14:50:00,0.1872,0.15130000000000002,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.17374779730074036
